id_login,id_usuario,fecha_login,ip,login_hour,login_day,login_month,login_year,is_valid_ip
LG6000,US414,2024-08-22 05:00:00,192.168.18.198,5,22,8,2024,True
LG6001,US418,2024-08-22 05:00:00,192.168.1.214,5,22,8,2024,True
LG6002,US476,2024-08-22 05:00:00,192.168.20.28,5,22,8,2024,True
LG6003,US449,2024-08-22 05:00:00,192.168.12.135,5,22,8,2024,True
LG6004,US422,2024-08-22 05:00:00,192.168.11.22,5,22,8,2024,True
LG6005,US507,2024-08-22 05:00:00,192.168.18.36,5,22,8,2024,True
LG6006,US487,2024-08-22 05:00:00,192.168.16.20,5,22,8,2024,True
LG6007,US423,2024-08-22 05:00:00,192.168.4.86,5,22,8,2024,True
LG6008,US426,2024-08-22 05:00:00,192.168.11.13,5,22,8,2024,True
LG6009,US422,2024-02-07 05:00:00,192.168.9.56,5,7,2,2024,True
LG6010,US475,2024-09-30 00:00:00,192.168.15.192,0,30,9,2024,True
LG6012,US471,2024-09-30 00:00:00,192.168.9.113,0,30,9,2024,True
LG6013,US423,2024-09-30 00:00:00,192.168.0.173,0,30,9,2024,True
LG6014,US504,2024-09-30 00:00:00,192.168.14.250,0,30,9,2024,True
LG6016,US487,2024-09-30 00:00:00,192.168.6.17,0,30,9,2024,True
LG6017,US474,2024-10-18 22:00:00,192.168.4.103,22,18,10,2024,True
LG6018,US432,2024-10-18 22:00:00,192.168.3.160,22,18,10,2024,True
LG6019,US492,2024-10-18 22:00:00,192.168.18.208,22,18,10,2024,True
LG6020,US9999,2024-10-18 22:00:00,192.168.4.194,22,18,10,2024,True
LG6021,US412,2024-10-18 22:00:00,192.168.8.91,22,18,10,2024,True
LG6023,US468,2024-10-18 22:00:00,192.168.13.72,22,18,10,2024,True
LG6024,US416,2024-10-18 22:00:00,192.168.13.32,22,18,10,2024,True
LG6025,US435,2024-10-18 22:00:00,192.168.19.195,22,18,10,2024,True
LG6027,US467,2024-10-18 22:00:00,192.168.16.104,22,18,10,2024,True
LG6028,US427,2024-10-18 22:00:00,192.168.5.39,22,18,10,2024,True
LG6029,US517,2024-10-18 22:00:00,192.168.15.109,22,18,10,2024,True
LG6030,US453,2024-10-18 22:00:00,192.168.16.215,22,18,10,2024,True
LG6031,US461,2024-10-18 22:00:00,192.168.2.11,22,18,10,2024,True
LG6032,US415,2024-10-18 22:00:00,192.168.9.246,22,18,10,2024,True
LG6033,US452,2024-10-18 22:00:00,192.168.13.223,22,18,10,2024,True
LG6035,US493,2024-10-18 22:00:00,192.168.12.239,22,18,10,2024,True
LG6036,US429,2024-10-18 22:00:00,192.168.19.82,22,18,10,2024,True
LG6038,US431,2024-10-18 22:00:00,192.168.12.43,22,18,10,2024,True
LG6039,US445,2024-10-18 22:00:00,192.168.16.60,22,18,10,2024,True
LG6040,US425,2024-10-18 22:00:00,192.168.20.51,22,18,10,2024,True
LG6041,US402,2024-10-18 22:00:00,192.168.0.16,22,18,10,2024,True
LG6042,US497,2024-10-18 22:00:00,192.168.1.246,22,18,10,2024,True
LG6043,US409,2024-10-18 22:00:00,192.168.10.52,22,18,10,2024,True
LG6044,US436,2024-10-18 22:00:00,192.168.1.235,22,18,10,2024,True
LG6045,US9999,2024-10-18 22:00:00,192.168.12.123,22,18,10,2024,True
LG6046,US443,2024-10-18 22:00:00,192.168.11.106,22,18,10,2024,True
LG6047,US493,2024-10-18 22:00:00,192.168.11.69,22,18,10,2024,True
LG6048,US427,2024-10-18 22:00:00,192.168.12.192,22,18,10,2024,True
